"STATION","NAME","DATE","PRCP","TAVG"
"BRM00083967","CANOAS, BR","2022-04-01","0.12","61"
"BRM00083967","CANOAS, BR","2022-04-02","0.00","69"
"BRM00083967","CANOAS, BR","2022-04-03","0.08","67"
"BRM00083967","CANOAS, BR","2022-04-04","1.65","69"
"BRM00083967","CANOAS, BR","2022-04-05","0.20","71"
"BRM00083967","CANOAS, BR","2022-04-06","0.00","70"
"BRM00083967","CANOAS, BR","2022-04-07",,"69"
"BRM00083967","CANOAS, BR","2022-04-08",,"71"
"BRM00083967","CANOAS, BR","2022-04-09",,"71"
"BRM00083967","CANOAS, BR","2022-04-10",,"74"
"BRM00083967","CANOAS, BR","2022-04-11",,"71"
"BRM00083967","CANOAS, BR","2022-04-12",,"72"
"BRM00083967","CANOAS, BR","2022-04-13",,"71"
"BRM00083967","CANOAS, BR","2022-04-14",,"67"
"BRM00083967","CANOAS, BR","2022-04-15",,"61"
"BRM00083967","CANOAS, BR","2022-04-16",,"63"
"BRM00083967","CANOAS, BR","2022-04-17",,"65"
"BRM00083967","CANOAS, BR","2022-04-18",,"69"
"BRM00083967","CANOAS, BR","2022-04-19",,"69"
"BRM00083967","CANOAS, BR","2022-04-20",,"67"
"BRM00083967","CANOAS, BR","2022-04-21",,"68"
"BRM00083967","CANOAS, BR","2022-04-22",,"71"
"BRM00083967","CANOAS, BR","2022-04-23",,"67"
"BRM00083967","CANOAS, BR","2022-04-24",,"64"
"BRM00083967","CANOAS, BR","2022-04-25",,"71"
"BRM00083967","CANOAS, BR","2022-04-26",,"71"
"BRM00083967","CANOAS, BR","2022-04-27",,"79"
"BRM00083967","CANOAS, BR","2022-04-28",,"67"
"BRM00083967","CANOAS, BR","2022-04-29",,"63"
"BRM00083967","CANOAS, BR","2022-04-30",,"60"
